address,bathrooms,date,discount,floor_elevator,link,price,realestate,rooms,sqft_m2
"Travessera de Gràcia, El Baix Guinardó",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1400,APROPERTIES REAL ESTATE Nº Aicat 6388,3,65
"Allada Vermell, Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,150 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,950,APROPERTIES REAL ESTATE Nº Aicat 6388,1,48
"Gran de Gracia, Vila de Gràcia",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2300,APROPERTIES REAL ESTATE Nº Aicat 6388,1,60
"Carrer D'aragó, La Nova Esquerra de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1300,APROPERTIES REAL ESTATE Nº Aicat 6388,4,116
"Rambla Catalunya, Dreta de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2500,APROPERTIES REAL ESTATE Nº Aicat 6388,3,140
"Pádua, Barri Gòtic",1,2020-10-22,250 €,0,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,950,APROPERTIES REAL ESTATE Nº Aicat 6388,1,30
"Carrer Dels Assaonadors, Sant Pere, Sta. Caterina i la Ribera",2,2020-10-22,,0,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1180,APROPERTIES REAL ESTATE Nº Aicat 6388,2,95
Sarrià,2,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763844489,3860,NUÑEZ I NAVARRO,3,116
Sarrià,2,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763844489,2573,NUÑEZ I NAVARRO,2,88
Sarrià,1,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763844489,1529,NUÑEZ I NAVARRO,1,57
Sarrià,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763844489,2893,NUÑEZ I NAVARRO,3,115
Sarrià,2,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763844489,3817,NUÑEZ I NAVARRO,4,124
"Carrer de Sant Iscle, El Turó de la Peira",1,2020-10-22,,1,/es/inmobiliaria-deza-consultores-inmobiliarios/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751428592,894,DEZA CONSULTORES INMOBILIARIOS,3,72
Vila de Gràcia,1,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763844489,1805,NUÑEZ I NAVARRO,0,58
Barri Gòtic,2,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763844489,2957,NUÑEZ I NAVARRO,3,107
"Carrer de Plató, Sant Gervasi- Galvany",2,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,4100,APROPERTIES REAL ESTATE Nº Aicat 6388,3,158
"De Calabria, La Nova Esquerra de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-rs-group/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202759306905,1150,RS GROUP,3,90
"Carrer de Prats de Molló, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-my-space-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202754556539,1550,MY SPACE BARCELONA,2,85
"Carrer D'aribau, L'Antiga Esquerra de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-fincador-serveis-immobiliaris/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202757292036,1650,FINCADOR SERVEIS IMMOBILIARIS,4,140
"Carrer D'entença, Sant Antoni",2,2020-10-22,,1,/es/inmobiliaria-busquets-galvez/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202754603019,2500,BUSQUETS GALVEZ ,2,90
"Carrer de Mercaders, Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,75 €,0,/es/inmobiliaria-zona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202750659637,850,ZONA ,1,55
"Carrer Dels Assaonadors, Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,35 €,0,/es/inmobiliaria-salarich/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751180564,815,SALARICH,1,58
"Carrer D'alcàntara, Les Roquetes",1,2020-10-22,308 €,0,/es/inmobiliaria-simurba/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=943003044173,707,SIMURBA,3,75
"General Mitre, Sant Gervasi i la Bonanova",3,2020-10-22,,1,/es/inmobiliaria-principal-primera/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202750551673,2100,PRINCIPAL PRIMERA,5,256
"Carrer de Prats de Molló, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-my-space-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202754556539,1400,MY SPACE BARCELONA,2,65
