address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2
"Carrer de València, Dreta de l'Eixample",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/157626918/d,1090,ATEMPORAL MONTHLY RENTALS,9202764010012,1,44
"Carrer de L'argenteria, Sant Pere, Sta. Caterina i la Ribera",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor-television-internet/157665301/d,1000,ATEMPORAL MONTHLY RENTALS,9202764010012,3,55
"Carrer de Berga, Vila de Gràcia",1,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/amueblado-television-internet/157627939/d,1160,ATEMPORAL MONTHLY RENTALS,9202764010012,3,75
"Plaça de Molina, 2, Sant Gervasi- Galvany",1,Flat,Flat,0,2020-10-28,50,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-parking/156962033/d,900,INMOSERVICE BARCELONA,9202754494789,1,45
"Carrer del Rosselló, El Camp de l'Arpa del Clot",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-internet/157665378/d,1100,ATEMPORAL MONTHLY RENTALS,9202764010012,3,85
"Carrer de la Indústria, El Camp de l'Arpa del Clot",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-internet/157665452/d,950,ATEMPORAL MONTHLY RENTALS,9202764010012,2,44
"Carrer de Pallars, Diagonal Mar i el Front Marítim del Poblenou",1,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157665262/d,850,ATEMPORAL MONTHLY RENTALS,9202764010012,2,70
"Carrer de la Creu Coberta, Hostafrancs",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-internet/157690379/d,950,ATEMPORAL MONTHLY RENTALS,9202764010012,2,60
"Carrer de la Sal, La Barceloneta",1,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-television-internet/157689556/d,745,ATEMPORAL MONTHLY RENTALS,9202764010012,1,32
"Carrer de la Creu Coberta, Hostafrancs",2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/157690263/d,950,ATEMPORAL MONTHLY RENTALS,9202764010012,2,68
